sample_id	tissue	sex	delta
GTEX-15SHW-0426	Adipose - Subcutaneous	male	0.1891151958560339
GTEX-15SKB-0226	Adipose - Subcutaneous	male	0.2103214340162096
GTEX-15SZO-0226	Adipose - Subcutaneous	male	0.2142745696899221
GTEX-15TU5-0326	Adipose - Subcutaneous	male	0.139560220188553
GTEX-15UF6-0926	Adipose - Subcutaneous	female	0.2642161951146483
GTEX-15UF7-2126	Adipose - Subcutaneous	male	0.128439181108112
GTEX-169BO-1426	Adipose - Subcutaneous	male	0.1551654787142289
GTEX-16A39-1926	Adipose - Subcutaneous	female	0.1723235341109238
GTEX-16AAH-2026	Adipose - Subcutaneous	male	0.2769953343808531
GTEX-16BQI-0526	Adipose - Subcutaneous	female	0.1789421778185076
GTEX-16GPK-0226	Adipose - Subcutaneous	male	0.2006920317302171
GTEX-16MT8-0526	Adipose - Subcutaneous	female	0.282550018657365
GTEX-16MT9-0526	Adipose - Subcutaneous	female	0.1645254467163249
GTEX-16MTA-2126	Adipose - Subcutaneous	male	0.1458557463822886
GTEX-16NFA-2226	Adipose - Subcutaneous	male	0.0847217841704457
GTEX-16NGA-1826	Adipose - Subcutaneous	female	0.1196429833885505
GTEX-16NPV-0226	Adipose - Subcutaneous	female	0.2563871794266283
GTEX-16NPX-0326	Adipose - Subcutaneous	male	0.1569807966316438
GTEX-16XZY-2526	Adipose - Subcutaneous	male	0.1243849543724704
GTEX-16XZZ-0226	Adipose - Subcutaneous	male	0.147676540381979
GTEX-16YQH-0226	Adipose - Subcutaneous	male	0.2208648357920566
GTEX-16Z82-0326	Adipose - Subcutaneous	male	0.26476230991402
GTEX-178AV-2126	Adipose - Subcutaneous	male	0.1492428975388868
GTEX-17EVP-0426	Adipose - Subcutaneous	male	0.1520074810309993
GTEX-17EVQ-0326	Adipose - Subcutaneous	male	0.1712388962047638
GTEX-17F96-1726	Adipose - Subcutaneous	male	0.283450597099533
GTEX-17F97-0426	Adipose - Subcutaneous	male	0.1052413625993835
GTEX-17F98-1126	Adipose - Subcutaneous	female	0.1188725803831317
GTEX-17F9E-0126	Adipose - Subcutaneous	male	0.2213408386032587
GTEX-17F9Y-0326	Adipose - Subcutaneous	female	0.1670247653231144
GTEX-17GQL-2426	Adipose - Subcutaneous	male	0.2221586786323174
GTEX-17HG3-2326	Adipose - Subcutaneous	female	0.1707957069670005
GTEX-17HGU-0326	Adipose - Subcutaneous	male	0.2030249900578461
GTEX-17HHE-1926	Adipose - Subcutaneous	male	0.0919056866689204
GTEX-17HHY-0226	Adipose - Subcutaneous	male	0.2257888153211993
GTEX-17HII-0326	Adipose - Subcutaneous	male	0.0976792053617009
GTEX-17JCI-0226	Adipose - Subcutaneous	female	0.1684975999454631
GTEX-17KNJ-2226	Adipose - Subcutaneous	male	0.1267272043161985
GTEX-17MF6-0226	Adipose - Subcutaneous	male	0.1435975753871155
GTEX-183WM-0226	Adipose - Subcutaneous	female	0.3059863256845953
GTEX-18464-0226	Adipose - Subcutaneous	male	0.2149197237537472
GTEX-18465-0226	Adipose - Subcutaneous	male	0.1021201071570322
GTEX-18A66-0326	Adipose - Subcutaneous	male	0.3637637463482367
GTEX-18A67-0226	Adipose - Subcutaneous	male	0.1630725792231499
GTEX-18A6Q-0226	Adipose - Subcutaneous	male	0.1347079470840931
GTEX-18A7A-0326	Adipose - Subcutaneous	female	0.277562550110243
GTEX-18A7B-0226	Adipose - Subcutaneous	male	0.1733324055599946
GTEX-18D9A-2026	Adipose - Subcutaneous	female	0.044592811287327
GTEX-18D9B-0626	Adipose - Subcutaneous	male	0.2167147512064344
GTEX-18D9U-0726	Adipose - Subcutaneous	male	0.2385877592366287
GTEX-18QFQ-0226	Adipose - Subcutaneous	male	0.0916050917067306
GTEX-19HZE-0226	Adipose - Subcutaneous	female	0.1985091574446313
GTEX-1A32A-0226	Adipose - Subcutaneous	female	0.1408265071215708
GTEX-1A3MV-2126	Adipose - Subcutaneous	male	0.1940049559519303
GTEX-1A3MW-0226	Adipose - Subcutaneous	female	0.1203665826442828
GTEX-1A3MX-0226	Adipose - Subcutaneous	male	0.1441088435996033
GTEX-1A8FM-0126	Adipose - Subcutaneous	female	0.2540116793135254
GTEX-1A8G6-0526	Adipose - Subcutaneous	male	0.1617445496474847
GTEX-1A8G7-0226	Adipose - Subcutaneous	male	0.1753114654009206
GTEX-1AMEY-1426	Adipose - Subcutaneous	female	0.089891346891835
GTEX-1AMFI-2126	Adipose - Subcutaneous	female	0.168717804960321
GTEX-1AX8Y-2126	Adipose - Subcutaneous	male	0.1656178402942273
GTEX-1AX8Z-0226	Adipose - Subcutaneous	male	0.1736320949730996
GTEX-1AX9I-0226	Adipose - Subcutaneous	male	0.0938100591820687
GTEX-1AX9J-0326	Adipose - Subcutaneous	male	0.125902321725919
GTEX-1AX9K-2426	Adipose - Subcutaneous	male	0.1217718472559579
GTEX-1AYCT-2226	Adipose - Subcutaneous	male	0.136593268265718
